Gender :,Age:,Graduation Year :,Program Code :,Current Occupation :,Job category :,Department :,Company Name,Type of Company :,Company's nature of business :,Years of work experience (after graduation):,Current Salary Midpoint
Male,24,2016,CS244,ECR Support,Executive,ECR Department,INTER-REGISTER COMMUNICATION,Private Limited Company(Syarikat Sendirian Berhad,Services,1,2500.5
Female,25,2017,CS244,caregiver,Non Executive,teacher ,sparkle seeds childcare center,Private Limited Company(Syarikat Sendirian Berhad,Education,1,1500
Female,28,2012,CS228 ,Executive-Training&Development,Executive,Human Capital Division,UMW Toyota Motor Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Automotive ,5,3500.5
Male,25,2017,CS248,Accountant,Executive,Finance & Account,TNB Energy Services,private company,Services,1,3500.5
Female,25,2017,CS246,Penolong Pegawai Teknologi Maklumat,Non Executive,Bahagian Pembangunan Aplikasi,USIM Tijarah Sdn Bhd,Statutory Body(Badan Berkanun),Education,1,1500
Male,25,2015,CS241 ,SPAD,Executive,Mobility,SPAD,Statutory Body(Badan Berkanun),Land Public Transport,2,3500.5
Male,28,2009,CS110,Software Engineer,Executive,Engineering,CSE Global,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,5,4500.5
Female,24,2017,CS248 ,PAYROLL OFFICER,Non Executive,ACCOUNT,SEIKOTECH ARCHITECTURAL COMPONENTS SDN BHD,Private Limited Company(Syarikat Sendirian Berhad,Hospitality,1,1500
Female,24,2017,CS244,Admin Associate,Associate,Admin,Mydin Mohamed Holdings Berhad (Iman Ikhlas (M) Sdn Bhd),Private Limited Company(Syarikat Sendirian Berhad,Retail,1,1500
Female,31,2008,CS244,Senior Consultant - Applications,Executive,Business Solution,Sunway Shared Services Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,7,7500.5
Male,25,2017,CS244,PERHEBAT,Officer leader,Academic,PERHEBAT,Statutory Body(Badan Berkanun),Education,1,1500
Female,29,2011,CS222,Lecturer,Manager,Maths,INTEC Education College,Private Limited Company(Syarikat Sendirian Berhad,Education,4,4500.5
Female,24,2017,CS241 ,Business Development Executive,Manager,SALES,GLOBALKNOX SDN BHD,Private Limited Company(Syarikat Sendirian Berhad,Education,1,2500.5
Female,24,2017,CS249,Pos Logistics Berhad,Executive,Corporate Development,Pos Logistics Berhad,Private Limited Company(Syarikat Sendirian Berhad,Logistics ,1,1500
Male,24,2016,CS241 ,Data analyst,Executive,Data analyst,Psl group,Private Limited Company(Syarikat Sendirian Berhad,Market research,1,2500.5
Female,25,2015,CS229,OFFICER,Executive,AUDIT,ROYAL MALAYSIAN CUSTOMS DEPARTMENT,GOVERMENT,Accountant and Audit,2,2500.5
Male,25,2017,CS110,Webmaster,Executive,Communications,Sticky Rice Travel Sdn Bhd,Partnership(Perkongsian),Services,1,1500
Female,24,2017,CS240,PNB Management Trainee,Executive,"Human Capital, Planning and Development",Permodalan Nasional Berhad (PNB),GLC,Investment,1,3500.5
